time_stamp,open,high,low,close,volume,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,RSI,EMA_Fast,EMA_Slow,MACD,Signal,Upper_Band,Lower_Band,log_returns,rolling_volatility,momentum,days_since_traded
2024-09-11,180.1,184.99,175.73,184.52,42564698,175.975,177.25681203360972,176.175,176.43304892536838,180.4218,178.36264808701546,182.2301,178.47847654937428,173.52205,180.36147064524002,66.11851985014894,176.90728650213188,176.6548889843019,0.25239751782999065,-0.8939130872960391,183.33512202392794,169.01487797607209,0.027304138017527915,0.42486130985256537,11.400000000000006,9081
2024-09-10,177.49,180.5,176.79,179.55,36233796,174.835,175.64277026330078,175.46049999999997,175.58179091751242,180.6754,178.11132760077118,182.17710000000002,178.35642557057375,173.33300000000003,180.31967638036804,58.84000819586633,175.52315677524678,176.02568010304603,-0.5025233277992527,-1.1804907385775465,181.93333709273807,168.98766290726186,0.023384640734009244,0.4178029159791723,4.050000000000011,9080
2024-09-09,174.53,175.85,173.51,175.4,29037362,174.43,174.77449698847875,174.823,175.1640846983032,180.9494,178.05260627835366,182.19439999999997,178.33231295583786,173.15474999999998,180.32741182137676,51.26330896068188,174.79100346165527,175.74373451128972,-0.9527310496344512,-1.3499825912721197,182.06564883412125,167.58035116587877,0.023127418533601885,0.41182033731427825,-1.6399999999999864,9079
2024-09-06,177.24,178.38,171.16,171.39,41466537,174.594,174.6354963192518,174.4,175.13925150865091,181.3984,178.1608759223681,182.27360000000002,178.39155160141036,173.0084,180.37693354822477,42.38116977571602,174.68027681831984,175.7712332721929,-1.0909564538730478,-1.4492954766815367,182.44456011212307,166.35543988787694,-0.03722372033269757,0.4081554848578092,-4.740000000000009,9076
2024-09-05,175.0,179.88,175.0,177.89,40170526,175.06799999999998,175.35671772353,174.12050000000002,175.53390956219312,181.8428,178.4372382049137,182.3959,178.53299708830752,172.87735,180.46725448840792,56.96586275551215,175.27850896710527,176.12173193396833,-0.8432229668630669,-1.5388802323836588,182.95504338781862,165.28595661218142,0.025968089783959206,0.3942101841902546,-2.2200000000000273,9075
2024-09-04,174.48,175.98,172.54,173.33,29682478,175.29000000000002,174.7937661065367,173.3645,175.28590004242398,182.0118,178.4595744581755,182.4783,178.54598692847534,172.70205,180.49315654356778,45.57931954264521,174.80369241566987,175.9802704886858,-1.1765780730159179,-1.7127945487638065,183.35320409526875,163.37579590473123,-0.01670614973915904,0.39511087864654587,-5.549999999999983,9074
2024-09-03,177.55,178.26,175.26,176.25,37817511,175.845,175.1190474635449,172.7945,175.491784257416,182.2566,178.66894484422346,182.63549999999998,178.65136040177788,172.5514,180.5651480666187,53.42421265282116,175.0716364912462,176.19229212778066,-1.120655636534451,-1.8468486677007787,184.01643430308903,161.57256569691097,-0.012685159527315687,0.39833122773459284,-1.9699999999999989,9073
2024-08-30,172.78,178.9,172.6,178.5,43429355,176.042,174.867724677666,172.033,175.41197207398608,182.51319999999998,178.76767728684482,182.7325,178.69987273312694,172.39915000000002,180.60851638889625,60.36224529929239,174.8573885805637,176.1876754980031,-1.3302869174393948,-2.0283969254923604,184.28712343180058,159.7788765681994,0.03639669324929494,0.39689326468023,1.4399999999999977,9069
2024-08-29,173.22,174.29,170.81,172.12,26407815,175.898,174.060552383814,171.503,175.0869165028267,182.6652,178.7786028903895,182.8042,178.70391056611942,172.21959999999999,180.62970750838264,41.78235810610165,174.19509559521165,176.00268953784334,-1.8075939426316836,-2.2029244275056015,183.49350870382688,159.5124912961731,0.00769862661592943,0.3808724374698602,-5.469999999999999,9068
2024-08-28,173.69,173.69,168.92,170.8,29045025,176.445,174.4917862468838,172.1005,175.39922350312426,182.87900000000002,179.05038260020132,182.93490000000003,178.83691886038446,172.0768,180.71523220695934,36.44013073468002,174.57238570343196,176.31330470087082,-1.740918997438854,-2.3017570487240806,185.34577399441275,158.85522600558727,-0.013491714303647215,0.3841063736200968,0.700000000000017,9067
2024-08-27,174.15,174.89,172.25,173.12,29841979,176.375,175.31218319063578,172.90949999999998,175.88335229292682,183.14419999999998,179.3871329104136,183.0776,178.99928085756395,171.9258,180.81488278190366,42.3612319743814,175.25827401314686,176.7543690769405,-1.496095063793632,-2.4419665615453874,187.70598390052965,158.11301609947031,-0.013654047247803721,0.38907403806819796,2.890000000000015,9066
2024-08-26,176.7,177.47,174.3,175.5,22366236,176.08599999999998,175.79933501077707,173.339,176.17423148165597,183.355,179.64293425369578,183.1464,179.11805420822182,171.77059999999997,180.89221828724942,49.51433685261185,175.64705110644627,177.04511860309574,-1.3980674966494746,-2.678434435983326,188.6509202284294,158.02707977157058,-0.008736652836873637,0.3881640164471012,8.699999999999989,9065
2024-08-23,177.34,178.97,175.24,177.04,29150091,175.21599999999998,175.86585390206088,173.724,176.24520321656712,183.5216,179.8120336109895,183.2155,179.19114621242832,171.60664999999997,180.94641143586497,54.69347354794231,175.67378767125467,177.1687280913434,-1.4949404200887386,-2.9985261708167887,189.6400010855574,157.80799891444258,0.00515333699858996,0.3882168106281547,10.099999999999994,9062
2024-08-22,181.38,181.47,175.68,176.13,32047482,174.206,175.6049325469633,173.997,176.1615403972584,183.7186,179.92517784000947,183.25199999999998,179.2346037116693,171.42015,180.9856718523058,52.12916565925111,175.42538542966463,177.17902633865089,-1.753640908986256,-3.374422608498801,190.3342188584577,157.65978114154234,-0.022345416604761997,0.3874241450316884,10.329999999999984,9061
2024-08-21,179.92,182.38,178.89,180.11,35599120,173.173,175.48825089073296,174.183,176.16486043907506,183.94060000000002,180.08008305796903,183.3004,179.2973229785717,171.2325,181.03447257443952,66.36747688053742,175.29727368960366,177.26294844574295,-1.9656747561392933,-3.7796180333769374,190.70611567495942,157.65988432504057,0.006852585382231844,0.38816118126868593,17.340000000000003,9060
2024-08-20,177.92,179.01,177.43,178.88,26255204,171.439,174.46119553311806,174.219,175.74958259055666,184.0796,180.07886195829428,183.3031,179.2809052609671,171.0223,181.04376375609218,63.71284200421416,174.42223254225885,177.0351843214024,-2.6129517791435433,-4.233103852686348,190.79952618134283,157.63847381865716,0.0036964477821605666,0.3873279156581486,16.94999999999999,9059
2024-08-19,177.64,178.3,176.16,178.22,31129807,169.744,173.4792389849221,174.5955,175.42006496851,184.18800000000002,180.12779509944914,183.31259999999997,179.28900435714826,170.8129,181.06551012550014,62.33013445547718,173.6117293681241,176.8875990671146,-3.2758696989905047,-4.638141871072049,191.945769496699,157.24523050330097,0.006530084001670705,0.3868916151954004,17.19999999999999,9058
2024-08-16,177.04,178.34,176.26,177.06,31489175,168.024,172.425736537127,174.81199999999998,175.12533496519526,184.3236,180.20566428718175,183.3134,179.31060040476743,170.58724999999998,181.0941082172137,60.00896884542502,172.77386198051028,176.78100699248375,-4.007145011973478,-4.978709914092435,192.45823663554228,157.1657633644577,-0.002988864483600721,0.38567095188901834,9.159999999999997,9055
2024-08-15,174.86,177.91,173.99,177.59,51698513,167.108,171.3959002120441,175.1155,174.92168601416319,184.408,180.33405874788303,183.33990000000003,179.35606707961122,170.36550000000003,181.1346520183917,61.509780552171925,171.99456415878487,176.75868755188245,-4.764123393097577,-5.221601139622174,193.12949628440046,157.10150371559953,0.043091023264687764,0.3885125448656287,-6.47999999999999,9054
2024-08-14,172.11,172.28,168.86,170.1,28843804,167.756,170.01943359249836,175.42350000000002,174.6408108577593,184.44299999999998,180.4460611457558,183.3527,179.39174520243165,170.11625,181.17027666179263,44.51341392765795,170.97721218765486,176.69218255603303,-5.714970368378175,-5.335970576253323,193.82217532496122,157.02482467503881,-0.0007639644246629496,0.3630252914031358,-16.879999999999995,9053
2024-08-13,167.81,171.04,167.1,170.23,39237915,169.44400000000002,170.00152994638688,176.315,175.11879094804976,184.6078,180.86834935578665,183.4332,179.5794572267232,169.86360000000002,181.2815357237202,44.81106303048451,171.136705312683,177.21955716051568,-6.082851847832671,-5.241220628222109,195.34464944300998,157.28535055699,0.020354973901832534,0.3672055176037802,-11.480000000000018,9052
